track_id,Unnamed: 0,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6nXIYClvJAfi6ujLiKqEq8,61,0.62,0.046650035944127644,0,0.43,0.791,6,0.8159369624327174,0,0.03129533678756477,0.0726,0.0193,0.11,0.217,0.7061781963414032
7x4b0UccXSKBWxWmjcrG2T,62,0.66,0.023854489770005316,0,0.616,0.282,1,0.6328542626195364,1,0.034300518134715026,0.983,0.833,0.13,0.435,0.3970793682099831
6owKuyHxUqidcAA6fPKSyy,63,0.64,0.04241617094320637,0,0.705,0.347,2,0.763590625751438,1,0.031191709844559583,0.674,0.0,0.12,0.36,0.3289490984994165
0wbmIfvndFV9VDvuUY1pYN,64,0.62,0.034722504651733384,0,0.582,0.255,4,0.7265042635443834,1,0.03170984455958549,0.772,0.0,0.0889,0.285,0.574774419407327
3e5yu9MkIvQx17mm7LF6KY,65,0.58,0.03562602450310704,0,0.549,0.274,1,0.6837578380777981,1,0.03927461139896374,0.798,6.63e-06,0.103,0.207,0.3560968394063409
6VwAh8Z1d5YKoSWoEaV4db,66,0.65,0.030473746466448806,0,0.787,0.355,0,0.7047703605053363,1,0.029844559585492227,0.896,0.0201,0.111,0.48,0.41080321483161575
2D4BSm5Z8Hq5zYbSgJwEOh,67,0.67,0.04778535484443783,0,0.397,0.303,5,0.7772968573701051,1,0.04507772020725388,0.381,0.0,0.101,0.172,0.33302927206087796
7LwGBxB0h0CVmkOZxYKn0g,68,0.65,0.06089173896066576,0,0.548,0.42,0,0.7711188798253888,1,0.028704663212435234,0.198,4.46e-06,0.0899,0.196,0.525993129858817
0ZwdH0m32I8odedwvspYTh,69,0.44,0.042455313286725305,0,0.787,0.403,0,0.6944120748016204,1,0.03419689119170985,0.603,0.00857,0.131,0.264,0.4850270367996318
16dkWKIlBsfYTISCVuDs0w,70,0.55,0.041907129539199145,0,0.484,0.573,5,0.8018053012226476,1,0.030880829015544044,0.0882,1.14e-06,0.15,0.346,0.5751113521686965
3TwtrR1yNLY1PMPsrGQpOp,71,0.7,0.042329675910942575,0,0.382,0.416,0,0.7440948523019439,1,0.03129533678756477,0.0733,0.0,0.0719,0.125,0.41947717896882136
